scenario_id,v2b_base_vm_min,v2r_base_vm_min,base_vm_min_diff,v2b_base_uv,v2r_base_uv,base_uv_diff,v2b_final_vm_min,v2r_final_vm_min,delta_final_vm_min,v2b_final_uv,v2r_final_uv,delta_final_uv,v2b_final_deficit,v2r_final_deficit,delta_final_deficit,v2b_termination,v2r_termination,v2b_final_vm_max_pu,v2r_final_vm_max_pu,delta_final_vm_max_pu,v2b_final_n_overvoltage,v2r_final_n_overvoltage,delta_final_n_overvoltage,v2b_final_line_loading_max_pct,v2r_final_line_loading_max_pct,delta_final_line_loading_max_pct,v2b_final_trafo_loading_max_pct,v2r_final_trafo_loading_max_pct,delta_final_trafo_loading_max_pct,v2b_final_n_overloaded_lines,v2r_final_n_overloaded_lines,delta_final_n_overloaded_lines,v2b_final_n_overloaded_trafos,v2r_final_n_overloaded_trafos,delta_final_n_overloaded_trafos
fed_der_drop_mg4,0.943,0.943,0.0,3.0,3.0,0.0,0.952,0.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056161,4.475087324056161,0.0,3.573705330683257,3.57368731272768,-1.8017955577320777e-05,0.0,0.0,0.0,0.0,0.0,0.0
fed_load_scale_0p7,0.9519999999999996,0.9519999999999996,0.0,0.0,0.0,0.0,0.9519999999999996,0.9519999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056151,4.475087324056151,0.0,5.342188042985304,5.342188042985304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fed_load_scale_0p85,0.9443844370085852,0.9443844370085852,0.0,1.0,1.0,0.0,0.9502379190903202,0.9502375410467276,-3.7804359254156594e-07,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056146,4.475087324056147,8.881784197001252e-16,3.192114337744563,3.191836123073436,-0.00027821467112731924,0.0,0.0,0.0,0.0,0.0,0.0
fed_load_scale_1p0,0.9430000000000002,0.9430000000000002,0.0,3.0,3.0,0.0,0.952,0.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056163,4.475087324056151,-1.1546319456101628e-14,3.5738980695196774,3.573890587188435,-7.4823312421479216e-06,0.0,0.0,0.0,0.0,0.0,0.0
fed_load_scale_1p15,0.9417899976746202,0.9417899976746202,0.0,3.0,3.0,0.0,0.9513437843398236,0.9501845932720284,-0.0011591910677951622,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056156,4.475087324056159,2.6645352591003757e-15,4.340789805422485,4.340791877512601,2.072090115490255e-06,0.0,0.0,0.0,0.0,0.0,0.0
fed_load_scale_1p25,0.9271276634242396,0.9271276634242396,0.0,9.0,9.0,0.0,0.9463018101535842,0.9501014506691148,0.0037996405155306112,3.0,0.0,-3.0,0.0091903865585765,0.0,-0.0091903865585765,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.475087324056157,4.475087324056157,0.0,6.649056308614303,6.663393641324192,0.014337332709889239,0.0,0.0,0.0,0.0,0.0,0.0
fed_load_scale_1p35,0.8985813698484044,0.8985813698484044,0.0,15.0,15.0,0.0,0.941000710301433,0.9500058738368208,0.009005163535387828,3.0,0.0,-3.0,0.0191355499269798,0.0,-0.0191355499269798,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056163,4.475087324056163,0.0,9.187459209135312,9.187712582956618,0.0002533738213053027,0.0,0.0,0.0,0.0,0.0,0.0
fed_load_scale_1p45,0.8442685626992203,0.8442685626992203,0.0,38.0,38.0,0.0,0.9292184629767752,0.9504319894725258,0.02121352649575059,17.0,0.0,-17.0,0.1602467275068427,0.0,-0.1602467275068427,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,5.281467459892904,5.276541286972472,-0.004926172920431959,11.892405977367428,11.953445520630158,0.06103954326272998,0.0,0.0,0.0,0.0,0.0,0.0
fed_load_scale_1p5,0.7978929973526577,0.7978929973526577,0.0,54.0,54.0,0.0,0.9146002134171471,0.9235682970288572,0.008968083611710087,20.0,27.0,7.0,0.2827724133643787,0.3430880942460361,0.060315680881657396,stopped_max_iterations_reached,stopped_max_iterations_reached,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,5.770991713697391,5.777399810288504,0.006408096591112411,13.379261141495707,13.615214542672554,0.2359534011768467,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_101_MG1_to_MG3,0.943,0.943,0.0,3.0,3.0,0.0,0.952,0.9520000000000002,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056155,4.475087324056159,4.440892098500626e-15,3.573515242072747,3.573473620172502,-4.162190024503687e-05,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_127_MG3_to_MG4,0.943,0.943,0.0,3.0,3.0,0.0,0.9520000000000002,0.9519999999999998,-3.3306690738754696e-16,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.475087324056161,4.475087324056159,-1.7763568394002505e-15,3.573905790140949,3.5738901154405784,-1.56747003705604e-05,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_128_MG3_to_MG4,0.9429999999999998,0.9429999999999998,0.0,3.0,3.0,0.0,0.952,0.9519999999999998,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.47508732405616,4.475087324056161,8.881784197001252e-16,3.573810940396227,3.5738014918975387,-9.44849868833586e-06,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_129_MG3_to_MG4,0.943,0.943,0.0,3.0,3.0,0.0,0.9520000000000002,0.952,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056156,4.475087324056156,0.0,3.5738999686718738,3.5738795473926666,-2.04212792072056e-05,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_135_MG3_to_MG4,0.9429999999999998,0.9429999999999998,0.0,3.0,3.0,0.0,0.952,0.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056157,4.47508732405616,2.6645352591003757e-15,3.573892612319044,3.5739089891184808,1.637679943655712e-05,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_136_MG3_to_MG4,0.9430000000000004,0.9430000000000004,0.0,3.0,3.0,0.0,0.9520000000000002,0.9519999999999998,-3.3306690738754696e-16,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056161,4.475087324056159,-1.7763568394002505e-15,3.573927211711664,3.5739131608110477,-1.405090061634695e-05,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_138_MG3_to_MG4,0.943,0.943,0.0,3.0,3.0,0.0,0.9495971942944784,0.9519999999999998,0.002402805705521427,1.0,0.0,-1.0,0.0004028057055214,0.0,-0.0004028057055214,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056164,4.475087324056159,-5.329070518200751e-15,3.573927185692141,3.573916595141518,-1.0590550623135186e-05,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_139_MG3_to_MG4,0.943,0.943,0.0,3.0,3.0,0.0,0.952,0.9519999999999996,-3.3306690738754696e-16,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.475087324056156,4.47508732405615,-6.217248937900877e-15,3.5739153255622047,3.573908240191908,-7.085370296699978e-06,0.0,0.0,0.0,0.0,0.0,0.0
